name,boxoffice,Unit,Director,genre,date,actor
新灰姑娘,6014,万,林恩·萨瑟兰,"动画,冒险,奇幻",2018-10-01大陆上映,"Cassandra Morris,屠凤刚,卢晓彤,Wendee Lee,李泽隆,邵敏佳,孙羽婷,赵路,刘飞,Tony Azzolino,Chris Niosi,Kirsten Day,Stephanie Bursill,爱丽丝·布莱哈特,程玉珠,Stephen Mendel,张啸霏,Kristen Day,弗朗西斯·吉勒巴斯,Terry Stone,Bob Klein,Russell Fung,王梓,程晓桦,蒋丽,Stephanie Sanditz,周洁云"
宝贝儿,2471,万,刘杰,剧情,2018-10-19大陆上映,"廖庆松,李鸿其,袁丰,郭思达,陆一帆,刘杰,亚宁,杨幂,郭京飞,吴书瑶,张叔平,杜笃之,侯孝贤"
功夫联盟,1797,万,刘镇伟,"动作,喜剧,爱情",2018-10-26大陆上映,"赵文卓,王改改,杜宇航,刘镇伟,王乃鹏,飞儿,陈国坤,何云伟,李建平,安志杰,麦迪娜,梁小龙,梁家仁,虞鑫蕾,王靖,张子文,苑琼丹,杨章林,殷春树,书亚信"
超能泰坦,1428,万,伦纳特·拉夫,科幻,2018-10-12大陆上映,"史蒂芬·克里,迭戈·冈萨雷斯,阿格妮丝·迪恩,泰勒·席林,娜塔莉·伊曼纽尔,亚伦·赫弗南,娜塔莉·波萨,凯尔·索列尔,本·奥德里基,娜奥米·巴特里克,古斯塔沃·萨尔梅龙,Alex Lanipekun,萨姆·沃辛顿,阿拉什·阿梅尔,诺亚·尤佩,克里·约翰逊,汤姆·威尔金森,迪耶戈·博内塔,马克斯·赫维茨,弗朗西斯科·加里多,亚历山大·约瓦诺维奇"
古剑奇谭之流月昭明,1412,万,雷尼·哈林,"奇幻,动作",2018-10-01大陆上映,"李媛,王力宏,张亮,纪焕博,高以翔,伍嘉成,李斯丹妮,谭广源,艾菲,那威,高圣远,吴千语,丁丁,李锦文,陈善业,柳岩,黄慧惠,张智霖,宋茜"
黄金兄弟,31700,万,钱嘉乐,"剧情,动作,犯罪",2018-09-21大陆上映,"麦曦茵,陈淑贤,蒋中炜,郑伊健,张之彦,陈光荣,佘诗曼,张海峰,张雅玫,周比利,蔡慧妍,杜佩勋,纪焕博,吴永伦,余国亮,邱瓈宽,李栋全,谢天华,郭建乐,周茂非,金东圭,杨恭如,林晓峰,陈小春,钱嘉乐,张英华,戴美玲,李敏,曾志伟,冯远文,仓田保昭,邓瑞华,魏允熙,徐德彪,王健,瑟吉·诺普科,谢忠道,彭幼芳,岑珈其,谭祖慧,刘伟强,李耀强,杨竣凯,郭婷婷,成龙"
为你写诗,1278,万,吴克群,"喜剧,爱情,奇幻",2018-10-26大陆上映,"张本煜,周键铭,周依然,刘晨霞,李晓彤,吴克群,潘粤明,李丰博,李星宇,苏士为,郑在欢,颜如晶,仇佩佩"
藏北秘岭-重返无人区,2058,万,饶子君,纪录片,2018-08-31大陆上映,"李军虎,刘畅,刘文军,蔡宇,程珑,土旦巴桑,次仁顿珠,李祥龙,饶子君"
碟中谍6：全面瓦解,124500,万,克里斯托弗·麦奎里,"动作,惊悚,冒险",2018-08-31大陆上映,"露丝·霍洛克斯,卡斯珀·菲利普森,加里·基利,鲁斯·贝恩,克里斯多夫·德·舒瓦西,奈杰尔·艾伦,安吉拉·贝塞特,J·J·艾布拉姆斯,奥利维尔·体班德,康纳·沃尔夫,塞缪尔·加斯帕德,汤姆·克鲁斯,戴维·奥拉瓦莱·阿印德,沃尔夫·布利策,伯纳多·桑托斯,康妮·夏普,亚历克西斯·巴尔博萨,戈登·亚历山大,米歇尔·莫纳汉,韦斯·本特利,布莱恩·伯克,怀亚特·亚历山大,肖恩·狄克逊,克里斯托弗·约纳尔,让·巴普蒂斯特·菲永,贾格·帕特尔,布鲁斯·盖勒,乔伊·安沙,亨利·卡维尔,西蒙·佩吉,肖恩·哈里斯,菲恩·乔利,Godiva Marshall,珊·布鲁克,马里安·洛伦西克,克里斯托弗·麦奎里,亚历克·鲍德温,罗斯·奥亨尼西,凡妮莎·柯比,马克斯·盖勒,杰茜·维宁,哈廷·帕特尔,Zivile Matikiene,查利·蕾娅·埃斯奎尔,拉斐尔·琼勒,大卫·穆梅尼,沃尔夫冈·施特格曼,杨亮,Wei-Chen Sun,安什·拉索尔,维利贝·托皮奇,塔希尔·布尔汉,洛内·巴尔菲,文·瑞姆斯,拉裴尔·德普雷,阿利克斯·贝纳泽什,斯图尔特·戴维森,费雷德里克·施密特,丽贝卡·弗格森,拉普洛斯·卡伦福佐斯,Ryan Allen,安德鲁·卡扎纳夫·平,朱莉安娜·比纳德,亚历山大·普尔,格雷厄姆·福克斯"
反贪风暴3,44200,万,林德禄,"剧情,动作,犯罪",2018-09-14大陆上映,"朱玮杰,陆骏光,蔡瀚亿,夏嫣,黄浩华,傅斌星,姬连强,王震球,肖迪,徐小童,何文龙,岑乐怡,邓丽欣,蔡彦雯,郑子诚,黄百鸣,丁海峰,卢海鹏,谢天华,麦长青,罗兰,罗浩铭,郑嘉颖,古天乐,灰熊,廖启智,卓文耀,张继聪,夏则培,关礼杰,谭耀文,修晓永,李昕岳,陈庭欣,凌志华,陈硕罡,周祉君,李忠希,曾茂军,张智霖,张颖,郑剑锋,赵依芳,程武,张松枝,万娟,栢天男,孙来贵,刘梦娜,金兴贤,冯雷,宣萱,邹文正,吴肇轩,胡子彤"
